Tabelle: 45412-0025
Arrivals, overnight stays in accommodation establishments:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Länder, months;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monthly tourism survey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;;;;Bayern;;;;Berlin;;;;Brandenburg;;;;Bremen;;;;Hamburg;;;;Hessen;;;;Mecklenburg-Vorpommern;;;;Niedersachsen;;;;Nordrhein-Westfalen;;;;Rheinland-Pfalz;;;;Saarland;;;;Sachsen;;;;Sachsen-Anhalt;;;;Schleswig-Holstein;;;;Thüringen;;;
;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;;Arrivals;;Overnight stays;
;;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
;August;1261426;e;4912044;e;2155286;e;10133123;e;269231;e;655124;e;241609;e;843203;e;46809;e;95833;e;199915;e;378982;e;746469;e;2842760;e;560545;e;2512794;e;934593;e;4671660;e;1058322;e;3455208;e;688470;e;2513789;e;53224;e;211976;e;265639;e;855552;e;153133;e;469348;e;606863;e;4382168;e;219979;e;741750;e
;September;1266702;e;4264177;e;2218749;e;8547935;e;341999;e;836852;e;205672;e;615558;e;59096;e;125473;e;218001;e;421025;e;893380;e;2782042;e;302801;e;1042174;e;945497;e;3696517;e;1211816;e;3537537;e;674352;e;2150764;e;60702;e;199520;e;307005;e;889160;e;172065;e;458273;e;443626;e;2440743;e;256840;e;718274;e
;October;1144382;e;3694088;e;1974215;e;6926337;e;312239;e;760095;e;168027;e;524270;e;60120;e;114852;e;205886;e;389122;e;839884;e;2589538;e;219265;e;708430;e;852877;e;3133150;e;1164472;e;3374615;e;674614;e;2128614;e;57785;e;195546;e;287314;e;835098;e;168768;e;436742;e;359059;e;1774917;e;250328;e;708848;e
;November;774104;e;2435852;e;1202516;e;3739142;e;248690;e;561075;e;126500;e;381481;e;46471;e;88020;e;197649;e;363511;e;638508;e;1893583;e;125299;e;374238;e;545651;e;1625195;e;1011031;e;2698070;e;335452;e;1033353;e;49131;e;160952;e;219886;e;611684;e;136927;e;358830;e;203100;e;807179;e;176769;e;502054;e
;December;643300;e;2255620;e;1220451;e;4119043;e;196944;e;440514;e;106531;e;319966;e;39275;e;74164;e;150196;e;270603;e;490328;e;1659416;e;109896;e;338751;e;441389;e;1446698;e;771916;e;2262797;e;255919;e;911562;e;36807;e;142692;e;196147;e;576821;e;105475;e;300128;e;172935;e;693630;e;157816;e;492222;e
1995;January;633870;e;2291015;e;1126464;e;4572777;e;192628;e;449868;e;94854;e;301931;e;38673;e;73524;e;138570;e;250414;e;543211;e;1796705;e;88246;e;291046;e;445636;e;1503768;e;823316;e;2444230;e;247958;e;829267;e;36535;e;141324;e;170961;e;544331;e;101427;e;300275;e;130478;e;610822;e;138033;e;457292;e
;February;692531;e;2380663;e;1278857;e;5147666;e;187615;e;437129;e;99948;e;317487;e;35833;e;72555;e;148973;e;269066;e;549547;e;1760426;e;106193;e;348119;e;490988;e;1636596;e;873484;e;2504245;e;263170;e;883493;e;34778;e;133881;e;199055;e;654356;e;114842;e;336538;e;165595;e;703512;e;161320;e;558203;e
;March;833205;e;2714092;e;1348071;e;4893727;e;252138;e;615861;e;136466;e;417406;e;41664;e;82559;e;190188;e;352309;e;667003;e;2044545;e;143077;e;451280;e;634560;e;2099759;e;1058224;e;2959949;e;328469;e;1042157;e;47738;e;172360;e;253318;e;727280;e;143874;e;387669;e;234169;e;1007423;e;183038;e;531301;e
;April;1003206;e;3313902;e;1547776;e;5504029;e;263837;e;660645;e;168809;e;511831;e;45461;e;85857;e;193268;e;362589;e;654929;e;2150977;e;226850;e;721420;e;800904;e;3145524;e;932016;e;2899612;e;432927;e;1467055;e;44679;e;173469;e;282308;e;819861;e;151033;e;403979;e;383898;e;1923010;e;209526;e;607746;e
;May;1223193;e;3953106;e;1915499;e;6814407;e;334268;e;812771;e;277972;e;773109;e;58538;e;111851;e;223672;e;410250;e;851168;e;2623575;e;352810;e;1126707;e;957025;e;3556696;e;1256919;e;3716545;e;565078;e;1767804;e;59404;e;197856;e;384044;e;1079602;e;197212;e;505880;e;466680;e;2361463;e;296127;e;809188;e
;June;1230299;e;4109331;e;1993922;e;7716328;e;340576;e;783998;e;318122;e;919283;e;51853;e;96654;e;217516;e;409103;e;839743;e;2602799;e;466775;e;1701694;e;960266;e;3821584;e;1141661;e;3315108;e;647618;e;2055820;e;60910;e;206951;e;373625;e;1087405;e;196058;e;534522;e;558375;e;3029889;e;270588;e;813075;e
;July;1379558;e;4867908;e;2307195;e;9630436;e;279391;e;689096;e;331096;e;1230864;e;48993;e;94873;e;195551;e;355076;e;770780;e;2785538;e;759736;e;3319833;e;1003105;e;5011050;e;968845;e;3295224;e;635885;e;2584533;e;55823;e;237548;e;323039;e;1122370;e;171096;e;585058;e;718738;e;4897165;e;237543;e;867796;e
;August;1250416;e;4900958;e;2129646;e;9827217;e;290087;e;718554;e;302713;e;924558;e;49700;e;94301;e;194148;e;359168;e;792387;e;2821925;e;639608;e;2598148;e;1019040;e;4904531;e;990747;e;3386050;e;687379;e;2485837;e;53043;e;221727;e;340210;e;1031084;e;174205;e;498219;e;627185;e;4438784;e;242139;e;759417;e
;September;1298947;e;4301515;e;2268691;e;8483936;e;328598;e;793428;e;264291;e;756064;e;54481;e;104491;e;224206;e;418775;e;898617;e;2717419;e;352379;e;1208780;e;967464;e;3798641;e;1272937;e;3598759;e;723147;e;2212771;e;59014;e;205485;e;396379;e;1116138;e;197696;e;521905;e;469425;e;2518858;e;283634;e;786794;e
;October;1173467;e;3773141;e;1927167;e;6789775;e;312194;e;751707;e;191864;e;590493;e;56705;e;103602;e;219855;e;406520;e;829274;e;2539649;e;245957;e;848159;e;881642;e;3367878;e;1244863;e;3657318;e;642597;e;2108500;e;53325;e;197284;e;357863;e;1035310;e;188885;e;501059;e;357628;e;1842234;e;254046;e;725020;e
;November;818258;e;2476517;e;1202084;e;3652977;e;249036;e;558321;e;147516;e;452164;e;45763;e;84843;e;195334;e;347379;e;647875;e;1875029;e;138783;e;424660;e;596529;e;1829824;e;1076494;e;2809797;e;362325;e;1068832;e;47425;e;175470;e;275510;e;735169;e;153120;e;408232;e;202703;e;800591;e;178128;e;498164;e
;December;673844;e;2299066;e;1270864;e;4215990;e;188518;e;409427;e;114560;e;356881;e;40354;e;73044;e;150354;e;265483;e;511983;e;1688060;e;121333;e;385507;e;460682;e;1572714;e;795381;e;2291929;e;286246;e;1014424;e;34330;e;148629;e;260215;e;747300;e;122107;e;346773;e;180033;e;724846;e;164899;e;519859;e
1996;January;631345;e;2264677;e;1065374;e;4254539;e;193600;e;426976;e;95149;e;320138;e;39832;e;72652;e;140703;e;247461;e;545112;e;1772752;e;91176;e;308099;e;453149;e;1539195;e;844911;e;2471253;e;221176;e;774289;e;35598;e;152128;e;199115;e;604464;e;106305;e;311719;e;123313;e;598836;e;137837;e;459411;e
;February;719925;e;2441829;e;1281323;e;5081185;e;192885;e;452162;e;100323;e;348760;e;37283;e;70422;e;157604;e;285969;e;550049;e;1764308;e;109758;e;380481;e;521296;e;1703398;e;935054;e;2601551;e;278657;e;964753;e;35174;e;151421;e;221939;e;709646;e;115440;e;339891;e;163960;e;705660;e;164127;e;573066;e
;March;865769;e;2725147;e;1412188;e;4907348;e;246709;e;581172;e;138033;e;438184;e;43846;e;85396;e;201620;e;363486;e;644507;e;1958374;e;153425;e;490052;e;661611;e;2261192;e;1052361;e;2969581;e;320496;e;1064561;e;46672;e;179206;e;254934;e;723566;e;145349;e;388304;e;249319;e;1076939;e;179003;e;523742;e
;April;965808;e;3165656;e;1405470;e;4943186;e;244164;e;586602;e;183966;e;563836;e;45375;e;87970;e;188903;e;340923;e;653164;e;2025755;e;226734;e;728115;e;780222;e;3009786;e;1023252;e;2961030;e;463156;e;1595862;e;44346;e;177892;e;329039;e;942849;e;163630;e;424177;e;334653;e;1669769;e;207276;e;601694;e
;May;1191227;e;3859860;e;1948236;e;6887945;e;355311;e;815102;e;315364;e;908245;e;53191;e;101268;e;222795;e;406237;e;822771;e;2453506;e;432399;e;1361881;e;970068;e;3654234;e;1253512;e;3538550;e;667017;e;2026350;e;55379;e;203302;e;453076;e;1285611;e;212908;e;540148;e;490670;e;2430637;e;302075;e;843136;e
;June;1257900;e;4007363;e;2023468;e;7402535;e;308340;e;712691;e;316990;e;985579;e;54308;e;104702;e;210085;e;395938;e;835923;e;2487539;e;482719;e;1834397;e;917023;e;3606418;e;1220093;e;3376716;e;597127;e;1766170;e;54125;e;198089;e;433083;e;1278122;e;209504;e;555314;e;534318;e;2896989;e;275766;e;810781;e
;July;1354699;e;4703128;e;2308458;e;9365337;e;265255;e;633917;e;304367;e;1205820;e;46789;e;89471;e;195548;e;360806;e;816000;e;2759419;e;669052;e;3370005;e;1006529;e;5118097;e;974003;e;3311603;e;624436;e;2332244;e;55546;e;222981;e;374338;e;1320552;e;186686;e;622068;e;679841;e;4764554;e;242293;e;904488;e
;August;1241971;e;4708539;e;2212098;e;9523701;e;295920;e;678922;e;298559;e;922569;e;52333;e;97433;e;218351;e;404388;e;751907;e;2612782;e;563811;e;2373403;e;1068311;e;4994329;e;1144850;e;3528859;e;622364;e;2279636;e;50070;e;225677;e;412541;e;1283084;e;190004;e;542991;e;642230;e;4309805;e;245759;e;782671;e
;September;1282997;e;4126169;e;2174518;e;8052992;e;353143;e;798083;e;274982;e;796824;e;57439;e;108362;e;231256;e;417073;e;898477;e;2591943;e;343026;e;1255594;e;982722;e;3861772;e;1316283;e;3624470;e;698393;e;2087486;e;54997;e;199649;e;482713;e;1386718;e;207525;e;541342;e;449281;e;2443822;e;266935;e;765137;e
;October;1201969;e;3724354;e;2003180;e;6884073;e;346478;e;806971;e;219338;e;669182;e;57424;e;106337;e;220042;e;400699;e;835996;e;2432799;e;259510;e;879461;e;916926;e;3351100;e;1265276;e;3536420;e;710784;e;2173401;e;53765;e;198691;e;454486;e;1311031;e;197973;e;530213;e;362211;e;1815374;e;263584;e;752319;e
;November;833024;e;2408326;e;1284798;e;3716401;e;267762;e;593680;e;163706;e;494846;e;50100;e;94325;e;211066;e;377463;e;680429;e;1799541;e;144823;e;442482;e;605236;e;1710731;e;1116437;e;2792142;e;390879;e;1059652;e;48245;e;176106;e;333689;e;947370;e;157964;e;421035;e;207912;e;772754;e;181801;e;499509;e
;December;655416;e;2075416;e;1243620;e;4141188;e;203321;e;433473;e;135916;e;403834;e;39812;e;72154;e;152508;e;263096;e;508873;e;1468448;e;131373;e;404149;e;457585;e;1482892;e;804813;e;2188165;e;284848;e;974184;e;32858;e;139976;e;311573;e;918279;e;126850;e;352538;e;172179;e;668135;e;168637;e;519830;e
1997;January;613559;e;1955107;e;1116290;e;4052511;e;200584;e;456162;e;105956;e;346735;e;39537;e;68800;e;139651;e;241662;e;558920;e;1527980;e;95711;e;304794;e;442341;e;1373898;e;888819;e;2356609;e;244842;e;775953;e;34713;e;128174;e;226023;e;700258;e;105846;e;288375;e;125224;e;535826;e;132615;e;409363;e
;February;699409;e;2104577;e;1262166;e;4527546;e;192406;e;423544;e;119153;e;374032;e;38413;e;71071;e;154209;e;269416;e;578042;e;1571331;e;122452;e;385698;e;500559;e;1520502;e;935278;e;2428986;e;251446;e;794306;e;36052;e;131526;e;261216;e;798650;e;120324;e;337461;e;165582;e;603354;e;154251;e;492745;e
;March;839446;e;2467859;e;1382387;e;4690066;e;260916;e;627600;e;154461;e;481773;e;41842;e;79893;e;198075;e;353965;e;643499;e;1767874;e;183113;e;614710;e;676915;e;2297831;e;1026689;e;2747851;e;333183;e;1073125;e;42683;e;156256;e;304548;e;883240;e;142226;e;385629;e;282571;e;1224025;e;171779;e;494337;e
;April;999206;e;2832068;e;1423600;e;4296017;e;298144;e;685716;e;206464;e;598416;e;50201;e;92661;e;210206;e;367082;e;707989;e;1854934;e;210762;e;663945;e;773505;e;2696114;e;1113077;e;2871800;e;420788;e;1242644;e;51975;e;168145;e;375685;e;1002773;e;172470;e;434948;e;307228;e;1395892;e;211498;e;548238;e
;May;1234239;e;3672710;e;2007446;e;6715323;e;343998;e;832742;e;340244;e;950637;e;54593;e;110603;e;230223;e;425604;e;808911;e;2175116;e;455647;e;1412261;e;1051080;e;3728645;e;1256536;e;3277540;e;625186;e;1829884;e;58358;e;187673;e;493921;e;1369409;e;212389;e;544577;e;530042;e;2393851;e;300070;e;794716;e
;June;1267640;e;3672467;e;2011758;e;6838224;e;328623;e;745614;e;325357;e;946696;e;54112;e;100972;e;217497;e;381342;e;898913;e;2350544;e;433736;e;1596219;e;941137;e;3526011;e;1293274;e;3291038;e;601715;e;1755250;e;58852;e;186625;e;463937;e;1295850;e;217329;e;535969;e;503222;e;2584860;e;288089;e;767824;e
;July;1367000;e;4292618;e;2280657;e;8408382;e;294601;e;705410;e;311813;e;1143826;e;46939;e;93580;e;212246;e;385924;e;866438;e;2489081;e;689071;e;3171824;e;1034301;e;4755884;e;1015259;e;3121377;e;627170;e;2198396;e;62515;e;212484;e;413864;e;1329179;e;198114;e;572538;e;683431;e;4455086;e;260887;e;848087;e
;August;1312010;e;4680607;e;2276701;e;9562926;e;327156;e;789246;e;326903;e;1044101;e;50789;e;96324;e;231390;e;424011;e;799639;e;2507006;e;760297;e;3273792;e;1070181;e;4970938;e;1161489;e;3351525;e;677701;e;2393496;e;56749;e;219310;e;391910;e;1311367;e;188456;e;546202;e;711254;e;4696416;e;245946;e;831510;e
